task_id,tag,position,layer,top1_token,top1_prob,top2_token,top2_prob,top3_token,top3_prob,top4_token,top4_prob,top5_token,top5_prob
0,SingleAgent,0,28,fwd,0.691,akk,0.057,_instruction,0.044,innen,0.034,UNET,0.027
0,SingleAgent,0,29,Okay,0.179,asics,0.14,AI,0.14,buckle,0.14,_instruction,0.14
0,SingleAgent,0,30,我可以,0.781,Okay,0.136,Baghd,0.03,okay,0.024,ToPoint,0.009
0,SingleAgent,0,31,�,0.816,�,0.182,Okay,0.002,understands,0.0,uming,0.0
0,SingleAgent,0,32,jsx,0.941,�,0.028,<think>,0.017,注意力,0.01,assistant,0.002
0,SingleAgent,0,33,<think>,1.0,_star,0.0,�,0.0,-Star,0.0,elve,0.0
0,SingleAgent,0,34,<think>,1.0,imet,0.0,attend,0.0,_star,0.0,-components,0.0
0,SingleAgent,0,35,<think>,1.0,免疫力,0.0,角色,0.0,responses,0.0,活跃,0.0
0,SingleAgent,0,36,<think>,1.0,.i,0.0,.,0.0,"""",0.0,!,0.0
0,SingleAgent,1,0,sun,0.0,唇,0.0,umo,0.0,铊,0.0,odore,0.0
0,SingleAgent,1,1,岁时,0.0,second,0.0,"""\<",0.0,seconds,0.0,招呼,0.0
0,SingleAgent,1,2,imation,0.0,seconds,0.0,dns,0.0,second,0.0,eturn,0.0
0,SingleAgent,1,3,soup,0.0,dns,0.0,eturn,0.0,imation,0.0,"""\<",0.0
0,SingleAgent,1,4,ly,0.0,seconds,0.0,mente,0.0,Glen,0.0,serde,0.0
0,SingleAgent,1,5,ly,0.0,,0.0,k,0.0,/manual,0.0,lek,0.0
0,SingleAgent,1,6,ly,0.005,er,0.002,ment,0.002,mente,0.001,,0.001
0,SingleAgent,1,7,ly,0.01,er,0.005,labs,0.003,/ex,0.003,mente,0.002
0,SingleAgent,1,8,ly,0.017,er,0.017,/ex,0.005,stor,0.003,loc,0.003
0,SingleAgent,1,9,ly,0.035,er,0.026,,0.013,/ex,0.007,!,0.004
0,SingleAgent,1,10,ly,0.077,,0.06,er,0.044,/ex,0.015,2,0.006
0,SingleAgent,1,11,ly,0.072,,0.052,er,0.018,/ex,0.017,d,0.009
0,SingleAgent,1,12,,0.078,ly,0.047,er,0.034,/ex,0.017,|,0.011
0,SingleAgent,1,13,,0.052,ly,0.052,er,0.046,B,0.012,|,0.011
0,SingleAgent,1,14,ly,0.12,er,0.1,,0.039,️,0.017,d,0.011
0,SingleAgent,1,15,ly,0.078,er,0.057,,0.022,d,0.02,️,0.016
0,SingleAgent,1,16,er,0.066,,0.035,️,0.031,ly,0.028,d,0.018
0,SingleAgent,1,17,️,0.042,ly,0.04,er,0.033,,0.026,ship,0.012
0,SingleAgent,1,18,️,0.127,ly,0.087,er,0.028,edith,0.01,,0.01
0,SingleAgent,1,19,️,0.126,ly,0.076,er,0.046,inia,0.019,,0.017
0,SingleAgent,1,20,️,0.322,ly,0.236,er,0.023,inia,0.018,nel,0.018
0,SingleAgent,1,21,️,0.875,ly,0.076,inia,0.004,rita,0.003,�,0.002
0,SingleAgent,1,22,️,0.641,ly,0.105,inia,0.092,�,0.017,nel,0.013
0,SingleAgent,1,23,inia,0.463,️,0.281,anners,0.117,ernen,0.033,obot,0.014
0,SingleAgent,1,24,️,0.969,inia,0.008,�,0.007,ernen,0.004,anners,0.001
0,SingleAgent,1,25,️,0.973,inia,0.012,щик,0.003,在职,0.002,ernen,0.002
0,SingleAgent,1,26,️,0.988,inia,0.01,cery,0.001,obot,0.0,izador,0.0
0,SingleAgent,1,27,️,0.859,inia,0.116,ernen,0.007,icked,0.006,obot,0.003
0,SingleAgent,1,28,obot,0.68,️,0.118,izador,0.092,inia,0.071,ernen,0.011
0,SingleAgent,1,29,️,0.578,inia,0.352,ernen,0.029,erde,0.011,uten,0.008
0,SingleAgent,1,30,️,0.77,uten,0.221,izador,0.004,嗨,0.004,hey,0.001
0,SingleAgent,1,31,️,1.0,uten,0.001,Okay,0.0,嗨,0.0,Hmm,0.0
0,SingleAgent,1,32,️,0.465,Okay,0.363,嗨,0.134,神经,0.018,哦,0.014
0,SingleAgent,1,33,神经,0.965,嗨,0.014,,0.014,❤,0.002,Okay,0.002
0,SingleAgent,1,34,,0.988,神经,0.011,,0.001,HelloWorld,0.0,inia,0.0
0,SingleAgent,1,35,,1.0,,0.0,,0.0,"""",0.0,!,0.0
0,SingleAgent,1,36,,1.0,,0.0,#,0.0,"""",0.0,!,0.0
0,SingleAgent,2,0,(valid,0.0,独一无,0.0,shemale,0.0,这个时代,0.0,_HEADERS,0.0
0,SingleAgent,2,1,前述,0.0,相应,0.0,这部分,0.0,ichtet,0.0,ところ,0.0
0,SingleAgent,2,2,особ,0.0,这部分,0.0,ichtet,0.0,前述,0.0,latitude,0.0
0,SingleAgent,2,3,这部分,0.0,ichtet,0.0,ところ,0.0,особ,0.0,相应,0.0
0,SingleAgent,2,4,这部分,0.0,ichtet,0.0,attachments,0.0,质量和,0.0,material,0.0
0,SingleAgent,2,5,这部分,0.0,material,0.0,前述,0.0,attachments,0.0,@Service,0.0
0,SingleAgent,2,6,这部分,0.0,一定程度,0.0,Loading,0.0,前述,0.0,一部分,0.0
0,SingleAgent,2,7,Toby,0.0,这部分,0.0,هة,0.0,一定程度,0.0,对面,0.0
0,SingleAgent,2,8,这部分,0.0,�,0.0,对面,0.0,Toby,0.0,material,0.0
0,SingleAgent,2,9,对面,0.0,/ex,0.0,eking,0.0,Walk,0.0,mate,0.0
0,SingleAgent,2,10,pop,0.0,,0.0,所谓,0.0,积极响应,0.0,ington,0.0
0,SingleAgent,2,11,еб,0.0,"['',",0.0,积极参与,0.0,爬,0.0,Assistant,0.0
0,SingleAgent,2,12,esis,0.001,own,0.0,mas,0.0,Assistant,0.0,DBHelper,0.0
0,SingleAgent,2,13,esis,0.001,所谓,0.0,research,0.0,ysis,0.0,own,0.0
0,SingleAgent,2,14,ucci,0.001,ution,0.001,ridge,0.0,renc,0.0,esis,0.0
0,SingleAgent,2,15,过程,0.002,解释,0.002,reasoned,0.002,erties,0.002,ution,0.001
0,SingleAgent,2,16,ugi,0.004,解释,0.003,erties,0.003,首先是,0.002,mas,0.002
0,SingleAgent,2,17,Analy,0.004,-ing,0.003,首先,0.002,对比,0.002,erties,0.002
0,SingleAgent,2,18,对比,0.005,我对,0.005,/svg,0.004,erty,0.003,ocument,0.003
0,SingleAgent,2,19,我对,0.034,首先是,0.01,/svg,0.006,首先,0.006,erty,0.006
0,SingleAgent,2,20,myself,0.026,我自己,0.018,我对,0.017,回顾,0.008,理解,0.008
0,SingleAgent,2,21,myself,0.095,我对,0.054,我是,0.048,你好,0.035,以下是,0.033
0,SingleAgent,2,22,我对,0.26,我自己,0.148,我会,0.018,--,0.018,DAY,0.017
0,SingleAgent,2,23,我对,0.527,我还是,0.071,myself,0.055,我会,0.023,我要,0.019
0,SingleAgent,2,24,我对,0.299,首先要,0.159,我要,0.141,我可以,0.11,首先,0.11
0,SingleAgent,2,25,嗯,0.559,Alright,0.11,-,0.086,-,0.067,首先,0.036
0,SingleAgent,2,26,Okay,0.98,okay,0.008,Alright,0.005,嗯,0.003,这个问题,0.001
0,SingleAgent,2,27,Okay,0.996,okay,0.004,嗯,0.001,Alright,0.0,Okay,0.0
0,SingleAgent,2,28,Okay,1.0,okay,0.0,Okay,0.0,嗯,0.0,Alright,0.0
0,SingleAgent,2,29,Okay,1.0,Okay,0.0,嗯,0.0,okay,0.0,Alright,0.0
0,SingleAgent,2,30,Okay,1.0,Okay,0.0,okay,0.0,okay,0.0,Alright,0.0
0,SingleAgent,2,31,Okay,1.0,Okay,0.0,okay,0.0,okay,0.0,Alright,0.0
0,SingleAgent,2,32,Okay,1.0,Okay,0.0,okay,0.0,okay,0.0,Alright,0.0
0,SingleAgent,2,33,Okay,1.0,Okay,0.0,okay,0.0,okay,0.0,嗯,0.0
0,SingleAgent,2,34,Okay,1.0,Okay,0.0,okay,0.0,嗯,0.0,okay,0.0
0,SingleAgent,2,35,Okay,1.0,Okay,0.0,嗯,0.0,okay,0.0,To,0.0
0,SingleAgent,2,36,Okay,1.0,#,0.0,!,0.0,$,0.0,"""",0.0
0,SingleAgent,3,0,唯,0.0,渠道,0.0,thesis,0.0,-figure,0.0,结,0.0
0,SingleAgent,3,1,wargs,0.0,te,0.0,-sized,0.0,stellung,0.0,这部分,0.0
0,SingleAgent,3,2,te,0.0,wargs,0.0,stellung,0.0,-sized,0.0,其所,0.0
0,SingleAgent,3,3,这部分,0.0,te,0.0,town,0.0,ismet,0.0,此处,0.0
0,SingleAgent,3,4,resolved,0.0,其所,0.0,wargs,0.0,/manual,0.0,amoto,0.0
0,SingleAgent,3,5,resolved,0.0,/manual,0.0,ness,0.0,其所,0.0,town,0.0
0,SingleAgent,3,6,nowledge,0.0,ness,0.0,tober,0.0,resolved,0.0,/manual,0.0
0,SingleAgent,3,7,ness,0.001,tober,0.001,nowledge,0.001,ู่,0.0,cean,0.0
0,SingleAgent,3,8,tober,0.001,nowledge,0.001,ness,0.001,cean,0.001,amoto,0.0
0,SingleAgent,3,9,tober,0.001,nowledge,0.001,cean,0.001,(Key,0.001,ridge,0.001
0,SingleAgent,3,10,cean,0.002,tober,0.002,lahoma,0.001,lander,0.001,ington,0.001
0,SingleAgent,3,11,tober,0.002,cean,0.002,nowled,0.001,�,0.001,ernels,0.001
0,SingleAgent,3,12,tober,0.002,throp,0.001,nowled,0.001,ernels,0.001,nowledge,0.001
0,SingleAgent,3,13,tober,0.002,nowledge,0.002,nowled,0.001,ledge,0.001,throp,0.001
0,SingleAgent,3,14,tober,0.002,throp,0.001,lsen,0.001,lander,0.001,cean,0.001
0,SingleAgent,3,15,throp,0.002,tober,0.002,lsen,0.001,cean,0.001,don,0.001
0,SingleAgent,3,16,tober,0.002,throp,0.002,Analy,0.002,lsen,0.002,nowled,0.001
0,SingleAgent,3,17,throp,0.002,tober,0.002,要点,0.001,lander,0.001,nowled,0.001
0,SingleAgent,3,18,要点,0.005,myself,0.002,nowled,0.002,我,0.002,throp,0.001
0,SingleAgent,3,19,要点,0.007,Analy,0.004,lymp,0.004,myself,0.004,首先,0.003
0,SingleAgent,3,20,myself,0.038,lymp,0.008,我自己,0.007,PLEASE,0.006,anni,0.005
0,SingleAgent,3,21,myself,0.052,首先,0.038,まず,0.023,考えて,0.02,这是我,0.01
0,SingleAgent,3,22,myself,0.124,这是我,0.035,我自己,0.028,首先,0.028,lander,0.016
0,SingleAgent,3,23,anni,0.074,lymp,0.054,gether,0.054,adays,0.037,我想,0.018
0,SingleAgent,3,24,anni,0.158,_suite,0.075,萊,0.051,pedia,0.038,-FIRST,0.038
0,SingleAgent,3,25,yy,0.077,pedia,0.077,quiz,0.06,quiz,0.032,lymp,0.032
0,SingleAgent,3,26,问题是,0.129,quiz,0.114,题,0.069,lets,0.061,quiz,0.054
0,SingleAgent,3,27,quiz,0.191,quiz,0.149,Lets,0.07,让我,0.062,muj,0.055
0,SingleAgent,3,28,Lets,0.344,让我们,0.162,使我,0.144,lets,0.144,让我,0.111
0,SingleAgent,3,29,Lets,0.734,lets,0.21,让我们,0.037,让我,0.017,讓我,0.001
0,SingleAgent,3,30,使我,0.973,Lets,0.023,lets,0.005,lander,0.0,让我,0.0
0,SingleAgent,3,31,let,1.0,lets,0.0,Let,0.0,Let,0.0,let,0.0
0,SingleAgent,3,32,let,1.0,lets,0.0,Let,0.0,让我,0.0,Let,0.0
0,SingleAgent,3,33,let,1.0,lets,0.0,Let,0.0,LET,0.0,let,0.0
0,SingleAgent,3,34,let,1.0,让我,0.0,lets,0.0,LET,0.0,let,0.0
0,SingleAgent,3,35,",",1.0,let,0.0,let,0.0,，,0.0,Let,0.0
0,SingleAgent,3,36,",",1.0,#,0.0,!,0.0,$,0.0,"""",0.0
0,SingleAgent,4,0,gamb,0.0,POR,0.0,声誉,0.0,稼,0.0,pad,0.0
0,SingleAgent,4,1,相应,0.0,前述,0.0,去年同期,0.0,原因是,0.0,/^,0.0
0,SingleAgent,4,2,相应,0.0,核实,0.0,/^,0.0,сразу,0.0,offset,0.0
0,SingleAgent,4,3,相应,0.0,eten,0.0,сразу,0.0,阴影,0.0,offset,0.0
0,SingleAgent,4,4,是因为,0.0,核实,0.0,后排,0.0,我省,0.0,相应,0.0
0,SingleAgent,4,5,是因为,0.0,实际情况,0.0,我省,0.0,核准,0.0,GAR,0.0
0,SingleAgent,4,6,是因为,0.0,我省,0.0,实际情况,0.0,fig,0.0,rand,0.0
0,SingleAgent,4,7,是因为,0.0,indirect,0.0,omen,0.0,/re,0.0,urge,0.0
0,SingleAgent,4,8,是因为,0.0,<header,0.0,/re,0.0,indirect,0.0,TED,0.0
0,SingleAgent,4,9,indirect,0.0,Coach,0.0,又,0.0,这部分,0.0,既然,0.0
0,SingleAgent,4,10,针对,0.0,Coach,0.0,这部分,0.0,环境保护,0.0,这类,0.0
0,SingleAgent,4,11,环境保护,0.0,disagreement,0.0,authenticated,0.0,这个问题,0.0,thirteen,0.0
0,SingleAgent,4,12,针对,0.0,原文,0.0,AVL,0.0,我们,0.0,这部分,0.0
0,SingleAgent,4,13,根据,0.0,这个问题,0.0,原文,0.0,考慮,0.0,考虑,0.0
0,SingleAgent,4,14,考慮,0.0,考虑,0.0,依据,0.0,criteria,0.0,considerations,0.0
0,SingleAgent,4,15,考虑,0.001,考慮,0.001,依据,0.001,Analy,0.001,Analy,0.0
0,SingleAgent,4,16,依据,0.001,Analy,0.001,考虑,0.001,Analy,0.001,考慮,0.0
0,SingleAgent,4,17,依据,0.001,Analy,0.001,考慮,0.001,考虑,0.001,answer,0.001
0,SingleAgent,4,18,依据,0.002,Analy,0.001,实际情况,0.001,首先,0.001,odore,0.001
0,SingleAgent,4,19,首先,0.003,依据,0.003,Analy,0.003,answer,0.002,analy,0.002
0,SingleAgent,4,20,依据,0.007,首先,0.005,的理解,0.005,Analy,0.004,odore,0.004
0,SingleAgent,4,21,的理解,0.036,首先要,0.017,首先,0.014,读懂,0.01,alyze,0.007
0,SingleAgent,4,22,的理解,0.043,首先要,0.023,Understanding,0.017,我们要,0.008,understanding,0.008
0,SingleAgent,4,23,我要,0.081,首先要,0.076,问题是,0.055,我们要,0.052,我对,0.049
0,SingleAgent,4,24,首先要,0.266,首先,0.098,我们要,0.086,我现在,0.046,.Here,0.036
0,SingleAgent,4,25,这个问题,0.652,tasked,0.146,问题是,0.029,首先要,0.025,gotta,0.014
0,SingleAgent,4,26,让我们,0.938,问题是,0.019,这个问题,0.015,lets,0.013,我们一起,0.004
0,SingleAgent,4,27,okay,0.555,让我们,0.434,Okay,0.005,okay,0.002,Okay,0.001
0,SingleAgent,4,28,okay,0.988,Okay,0.007,让我们,0.004,Alright,0.0,Okay,0.0
0,SingleAgent,4,29,okay,0.875,让我们,0.072,Okay,0.026,lets,0.021,let,0.003
0,SingleAgent,4,30,okay,0.996,alright,0.004,Okay,0.0,Alright,0.0,Alright,0.0
0,SingleAgent,4,31,let,1.0,lets,0.0,Let,0.0,Let,0.0,let,0.0
0,SingleAgent,4,32,let,1.0,lets,0.0,Let,0.0,Let,0.0,let,0.0
0,SingleAgent,4,33,let,1.0,let,0.0,Let,0.0,Let,0.0,!,0.0
0,SingleAgent,4,34,let,1.0,let,0.0,#,0.0,"""",0.0,!,0.0
0,SingleAgent,4,35,let,1.0,so,0.0,let,0.0,"""",0.0,!,0.0
0,SingleAgent,4,36,let,1.0,so,0.0,#,0.0,"""",0.0,!,0.0
0,SingleAgent,5,0,崇拜,0.0,纵,0.0,alien,0.0,式,0.0,©,0.0
0,SingleAgent,5,1,entious,0.0,tery,0.0,的前提,0.0,ting,0.0,ten,0.0
0,SingleAgent,5,2,entious,0.0,的前提,0.0,dangling,0.0,ting,0.0,tery,0.0
0,SingleAgent,5,3,entious,0.0,ting,0.0,dangling,0.0,cdn,0.0,ten,0.0
0,SingleAgent,5,4,ting,0.0,entious,0.0,zman,0.0,собой,0.0,一下,0.0
0,SingleAgent,5,5,然是,0.0,ting,0.0,mate,0.0,entious,0.0,一下,0.0
0,SingleAgent,5,6,然是,0.0,s,0.0,ten,0.0,mate,0.0,ting,0.0
0,SingleAgent,5,7,然是,0.0,ting,0.0,ten,0.0,s,0.0,te,0.0
0,SingleAgent,5,8,然是,0.0,s,0.0,ten,0.0,te,0.0,是因为,0.0
0,SingleAgent,5,9,然是,0.0,s,0.0,在,0.0,在同一,0.0,te,0.0
0,SingleAgent,5,10,然是,0.001,s,0.0,te,0.0,在,0.0,edin,0.0
0,SingleAgent,5,11,然是,0.001,s,0.001,-minded,0.0,在,0.0,te,0.0
0,SingleAgent,5,12,然是,0.001,s,0.0,uming,0.0,كم,0.0,rec,0.0
0,SingleAgent,5,13,然是,0.002,s,0.0,iming,0.0,一下,0.0,uming,0.0
0,SingleAgent,5,14,然是,0.004,iming,0.001,ments,0.001,s,0.001,在,0.0
0,SingleAgent,5,15,然是,0.007,s,0.001,在同一,0.001,在,0.0,科学发展,0.0
0,SingleAgent,5,16,然是,0.005,科学发展,0.001,sburg,0.001,uming,0.001,iming,0.0
0,SingleAgent,5,17,然是,0.008,科学发展,0.001,实际情况,0.001,sburg,0.0,ernal,0.0
0,SingleAgent,5,18,然是,0.012,äre,0.001,数据,0.001,iming,0.001,科学发展,0.001
0,SingleAgent,5,19,然是,0.051,äre,0.003,uming,0.002,们都,0.002,witter,0.002
0,SingleAgent,5,20,然是,0.531,hest,0.002,inct,0.002,­ing,0.001,uming,0.001
0,SingleAgent,5,21,然是,0.469,hest,0.009,どれ,0.006,acie,0.006,­ing,0.006
0,SingleAgent,5,22,然是,0.945,acie,0.001,hest,0.001,uest,0.001,uming,0.001
0,SingleAgent,5,23,然是,0.949,技术水平,0.002,关键,0.002,­ing,0.002,ือ,0.001
0,SingleAgent,5,24,然是,0.574,zte,0.019,­ing,0.014,们都,0.014,我知道,0.014
0,SingleAgent,5,25,然是,0.371,tings,0.226,'s,0.155,zte,0.106,elier,0.044
0,SingleAgent,5,26,'s,0.275,问题,0.214,nar,0.089,zte,0.061,analyze,0.033
0,SingleAgent,5,27,tings,0.984,itia,0.009,zte,0.005,elier,0.0,tres,0.0
0,SingleAgent,5,28,咱们,0.992,zte,0.005,itia,0.001,tres,0.001,咱,0.0
0,SingleAgent,5,29,让我们,1.0,lets,0.0,咱们,0.0,Lets,0.0,Lets,0.0
0,SingleAgent,5,30,me,0.992,让我们,0.007,咱们,0.001,us,0.0,'s,0.0
0,SingleAgent,5,31,咱们,0.816,me,0.183,tackle,0.0,us,0.0,让我们,0.0
0,SingleAgent,5,32,'s,1.0,’s,0.0,me,0.0,’S,0.0,´s,0.0
0,SingleAgent,5,33,'s,1.0,me,0.0,’s,0.0,roz,0.0,Ő,0.0
0,SingleAgent,5,34,'s,1.0,me,0.0,’s,0.0,"""",0.0,!,0.0
0,SingleAgent,5,35,'s,1.0,me,0.0,#,0.0,"""",0.0,!,0.0
0,SingleAgent,5,36,'s,1.0,me,0.0,#,0.0,"""",0.0,!,0.0
0,SingleAgent,6,0,cloudy,0.0,ToList,0.0,prise,0.0,REP,0.0,lags,0.0
0,SingleAgent,6,1,ryn,0.0,eded,0.0,creens,0.0,planes,0.0,ры,0.0
0,SingleAgent,6,2,imposs,0.0,ryn,0.0,ancer,0.0,creens,0.0,ры,0.0
0,SingleAgent,6,3,imposs,0.0,ancer,0.0,ryn,0.0,ukes,0.0,分工,0.0
0,SingleAgent,6,4,ryn,0.0,ancer,0.0,ukes,0.0,ourced,0.0,另一半,0.0
0,SingleAgent,6,5,abe,0.0,ukes,0.0,ellation,0.0,*,0.0,ancer,0.0
0,SingleAgent,6,6,s,0.001,abe,0.0,orry,0.0,cale,0.0,nya,0.0
0,SingleAgent,6,7,cape,0.001,abe,0.001,s,0.0,orry,0.0,cale,0.0
0,SingleAgent,6,8,cape,0.001,s,0.001,ن,0.0,orry,0.0,cale,0.0
0,SingleAgent,6,9,cape,0.001,清楚,0.001,ن,0.001,开始,0.001,scenario,0.001
0,SingleAgent,6,10,分工,0.001,清楚,0.001,s,0.001,ن,0.001,谈谈,0.001
0,SingleAgent,6,11,assume,0.001,谈谈,0.001,开始,0.001,scenario,0.001,abe,0.001
0,SingleAgent,6,12,cape,0.001,题目,0.001,assume,0.001,介绍一下,0.001,ن,0.001
0,SingleAgent,6,13,题目,0.002,ن,0.002,cape,0.002,scenario,0.001,nya,0.001
0,SingleAgent,6,14,题目,0.002,scenario,0.002,分工,0.001,scenarios,0.001,nya,0.001
0,SingleAgent,6,15,分工,0.002,分析,0.002,题目,0.001,scenario,0.001,考查,0.001
0,SingleAgent,6,16,首先,0.003,scenario,0.002,分工,0.002,分析,0.002,堡,0.001
0,SingleAgent,6,17,首先,0.01,考察,0.003,题目,0.002,ree,0.002,analyze,0.002
0,SingleAgent,6,18,首先,0.012,ittel,0.005,考察,0.004,回顾,0.004,分析,0.003
0,SingleAgent,6,19,首先,0.03,ittel,0.012,介绍一下,0.006,分析,0.005,understanding,0.005
0,SingleAgent,6,20,首先,0.026,堡,0.023,分析,0.017,analyze,0.015,探讨,0.013
0,SingleAgent,6,21,gerald,0.044,探讨,0.039,analyze,0.027,首先,0.024,堡,0.024
0,SingleAgent,6,22,analyze,0.065,tackle,0.047,Analy,0.035,探讨,0.031,ync,0.024
0,SingleAgent,6,23,tackle,0.229,analyze,0.178,ync,0.062,clarify,0.048,探讨,0.033
0,SingleAgent,6,24,tackle,0.711,analyze,0.109,仔细,0.028,探讨,0.021,answer,0.019
0,SingleAgent,6,25,tackle,0.973,这个问题,0.023,想想,0.002,analyze,0.001,answer,0.001
0,SingleAgent,6,26,这个问题,0.879,tackle,0.119,answer,0.0,想想,0.0,analyze,0.0
0,SingleAgent,6,27,tackle,0.961,这个问题,0.037,想想,0.0,analyze,0.0,仔细,0.0
0,SingleAgent,6,28,tackle,1.0,这个问题,0.0,tackling,0.0,仔细,0.0,answer,0.0
0,SingleAgent,6,29,tackle,1.0,tackling,0.0,tackles,0.0,tackled,0.0,这个问题,0.0
0,SingleAgent,6,30,tackle,1.0,tackling,0.0,tackles,0.0,tackled,0.0,try,0.0
0,SingleAgent,6,31,tackle,1.0,tackling,0.0,tackles,0.0,try,0.0,see,0.0
0,SingleAgent,6,32,tackle,1.0,try,0.0,tackling,0.0,see,0.0,tackles,0.0
0,SingleAgent,6,33,tackle,1.0,try,0.0,tackling,0.0,see,0.0,tackles,0.0
0,SingleAgent,6,34,tackle,1.0,try,0.0,see,0.0,tackling,0.0,tackles,0.0
0,SingleAgent,6,35,tackle,1.0,try,0.0,see,0.0,tackling,0.0,tackles,0.0
0,SingleAgent,6,36,tackle,0.879,try,0.119,see,0.0,"""",0.0,!,0.0
0,SingleAgent,7,0,nghiệp,0.0,Wick,0.0,Typed,0.0,がら,0.0,ordion,0.0
0,SingleAgent,7,1,ture,0.0,nowled,0.0,ugin,0.0,🏼,0.0,gether,0.0
0,SingleAgent,7,2,ture,0.0,сразу,0.0,ugin,0.0,stüt,0.0,staff,0.0
0,SingleAgent,7,3,分工,0.0,这个问题,0.0,Unused,0.0,弢,0.0,ipay,0.0
0,SingleAgent,7,4,分工,0.0,这个问题,0.0,#else,0.0,Unused,0.0,üp,0.0
0,SingleAgent,7,5,分工,0.0,这个问题,0.0,了一下,0.0,#else,0.0,te,0.0
0,SingleAgent,7,6,这个问题,0.002,*,0.001,分工,0.001,一下,0.001,了一下,0.001
0,SingleAgent,7,7,这个问题,0.011,一下,0.005,了一下,0.002,te,0.001,*,0.001
0,SingleAgent,7,8,这个问题,0.029,一下,0.006,te,0.002,了一下,0.002,/mock,0.002
0,SingleAgent,7,9,这个问题,0.027,一下,0.014,rish,0.003,/mock,0.003,的是,0.002
0,SingleAgent,7,10,这个问题,0.184,一下,0.008,ugin,0.004,rish,0.004,te,0.004
0,SingleAgent,7,11,这个问题,0.133,一下,0.018,这些问题,0.006,rish,0.005,的第一个,0.003
0,SingleAgent,7,12,这个问题,0.231,一下,0.01,这些问题,0.009,rish,0.004,/mock,0.003
0,SingleAgent,7,13,这个问题,0.398,这些问题,0.012,一下,0.007,的问题,0.003,/mock,0.003
0,SingleAgent,7,14,这个问题,0.326,这些问题,0.007,的第一个,0.005,的问题,0.004,此,0.004
0,SingleAgent,7,15,这个问题,0.226,这些问题,0.011,此,0.005,rish,0.004,/mock,0.004
0,SingleAgent,7,16,这个问题,0.328,这些问题,0.011,此,0.008,/problem,0.006,/mock,0.004
0,SingleAgent,7,17,这个问题,0.379,此,0.012,这些问题,0.009,的第一个,0.008,/problem,0.006
0,SingleAgent,7,18,这个问题,0.547,这个,0.01,这些问题,0.008,的第一个,0.007,/problem,0.007
0,SingleAgent,7,19,这个问题,0.84,/problem,0.006,这些问题,0.004,题目,0.004,这个,0.003
